scheme_code,scheme_name,isin_growth,isin_div_reinvestment
100536,Franklin India Retirement Fund - Growth,INF090I01510,
100537,Franklin India Liquid Fund - Regular Plan - Weekly - IDCW,INF090I01BL0,INF090I01BI6
100538,Franklin India Liquid Fund - Regular Plan - Growth,INF090I01BB1,
100541,Franklin India Liquid Fund - Regular Plan - Daily - IDCW,,INF090I01BA3
100542,Franklin India Liquid Fund - Liquid Plan - Weekly Dividend,,
100543,Franklin India Liquid Fund - Liquid Plan - Daily Dividend,,
100544,Franklin India Liquid Fund - Liquid Plan - Growth,,
100546,Franklin India Liquid Fund - Super Institutional Plan - Growth,INF090I01BG0,
100547,Franklin India Liquid Fund - Super Institutional Plan - Daily - IDCW,,INF090I01BF2
100548,Franklin India Liquid Fund - Super Institutional Plan - Weekly - IDCW,INF090I01BM8,INF090I01BH8
100549,Franklin India Aggressive Hybrid Fund - IDCW,INF090I01825,INF090I01833
100550,Franklin India Aggressive Hybrid Fund - Growth Plan,INF090I01817,
100551,Templeton India Children’s Asset Plan-Education Plan,,
100552,Templeton India Children’s Asset Plan-Gift Plan - Growth,,
100553,Templeton India Children’s Asset Plan-Gift Plan - Dividend,,
100555,Franklin India Taxshield 96,,
100556,Franklin India Taxshield 97,,
100557,Franklin India Taxshield 98,,
100558,Franklin India Taxshield 99,,
100561,Templeton India Money Market Account - Bonus Plan,,
100563,DBS Chola Triple Ace-Regular -Cumulative,,
100567,DBS Chola Triple Ace-Regular - Quarterly Dividend,,
100569,DBS Chola Triple Ace-Semi Annual Dividend,,
100573,DBS Chola Triple Ace-Regular Bonus,,
100574,DBS Chola Freedom Income -Short Term Fund-Regular-Monthly Dividend,,
100575,DBS Chola Freedom Income -Short Term Fund-Regular - Cumulative,,
100576,DBS Chola Freedom Income -Short Term Fund-Cum- Institutional Plan,,
100579,DBS Chola Gilt-Investment-Quarterly Dividend,,
100580,DBS Chola Gilt-Investment-Cumulative,,
100589,Canara Robeco Expo-Income Plan,,
100590,Canara Robeco Expo-Growth Plan,,
100593,CANARA ROBECO ELSS TAX SAVER - REGULAR PLAN -IDCW (Payout),INF760K01084,INF760K01092
100596,CANARA ROBECO GILT FUND - REGULAR PLAN - IDCW (Payout/Reinvestment),INF760K01AB7,INF760K01AC5
100597,CANARA ROBECO GILT FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AE1,
100600,CANARA ROBECO CONSERVATIVE HYBRID FUND - REGULAR PLAN - MONTHLY IDCW (Payout/Reinvestment),INF760K01308,INF760K01316
100601,CANARA ROBECO CONSERVATIVE HYBRID FUND - REGULAR PLAN - GROWTH OPTION,INF760K01282,
100602,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan-Income Distribution cum Capital Withdrawal(IDCW),INF903J01FR0,INF903J01FU4
100603,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan - Growth,INF903J01FQ2,
100604,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan - Bonus,INF903J01FX8,
100605,Sundaram Medium Term Bond Fund -Institutional Plan(Qtrly Dividend),,
100606,Sundaram Medium Term Bond Fund-Institutional Plan(Half-Yearly Dividend),,
100607,Sundaram Medium Term Bond Fund -Institutional Plan(Annual Dividend),,
100608,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Institutional Plan - Growth,INF903J01FY6,
100609,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan- Half Yearly Income Distribution cum Capital Withdrawal (IDCW),INF903J01FS8,INF903J01FV2
100610,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan - Annual Income Distribution cum Capital Withdrawal (IDCW),INF903J01FT6,INF903J01FW0
