date,nav,scheme_code,fund_name
2020-03-11,53.3443,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-03-12,49.2353,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-03-13,50.2095,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-03-16,47.316,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-03-17,46.2054,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-03-18,43.3121,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-03-19,42.0994,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-03-20,45.0055,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-03-23,40.4996,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-03-24,40.7455,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-03-25,41.754,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-03-26,43.3782,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-03-27,43.3332,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-03-30,42.9923,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-03-31,44.41,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-04-01,43.7147,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-04-03,43.6407,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-04-07,46.715,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-04-08,48.5326,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-04-09,49.7311,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-04-13,49.7987,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-04-15,49.9375,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-04-16,50.6858,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-04-17,50.8369,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-04-20,50.5395,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-04-21,49.9428,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-04-22,49.9446,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-04-23,50.6232,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-04-24,50.3992,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-04-27,51.6601,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-04-28,51.7687,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-04-29,51.8212,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-04-30,51.9138,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-05-04,51.7864,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-05-05,51.7331,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-05-06,52.105,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-05-07,52.0884,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-05-08,51.8829,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-05-11,51.8446,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-05-12,51.5599,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-05-13,51.6134,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-05-14,51.8594,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-05-15,52.0253,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-05-18,50.8905,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-05-19,51.2438,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-05-20,51.6204,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-05-21,52.2025,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-05-22,52.314,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-05-26,52.2757,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-05-27,52.6368,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-05-28,52.9098,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-05-29,53.2197,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-06-01,53.8411,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-06-02,54.0996,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-06-03,54.1472,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-06-04,54.1289,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-06-05,55.0839,120841,HDFC Index Fund - Nifty 50 Plan - Growth
