date,nav,scheme_code,fund_name
2026-02-25,247.7817,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-02-26,247.9165,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-02-27,244.8257,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-03-02,241.7791,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-03-04,238.033,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-03-05,240.8058,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-03-06,237.7548,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-03-09,233.6455,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-03-10,235.9112,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-03-11,232.0725,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-03-12,229.8571,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-03-13,225.1108,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-03-16,227.6139,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-03-17,229.2869,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-03-18,231.1958,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-03-19,223.6532,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-03-20,224.7426,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-03-23,218.8868,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-03-24,222.7674,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-03-25,226.5982,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-03-27,221.8611,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-03-30,217.1194,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-03-31,217.1184,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-04-01,220.5003,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-04-02,220.8254,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-04-06,223.2964,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-04-07,224.7936,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-04-08,233.2835,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-04-09,231.122,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-04-10,233.7978,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-04-13,231.7723,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-04-15,235.5455,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-04-16,235.2075,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-04-17,236.7297,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-04-20,236.8352,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-04-21,238.8918,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-04-22,236.9605,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-04-23,234.9661,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-04-24,232.3439,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-04-27,234.2331,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-04-28,233.2888,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-04-29,235.0556,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-04-30,233.3031,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-05-04,234.4802,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-05-05,233.6373,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-05-06,236.5345,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-05-07,236.491,119063,HDFC Nifty 50 Index Fund - Direct Plan
2026-05-08,235.0262,119063,HDFC Nifty 50 Index Fund - Direct Plan
